eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,88,47,-58236.495154,2.475959e-01,4,4,4.5,f,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,89,48,-58236.495152,1.886446e-01,4,4,4.5,f,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,90,49,-58236.495150,1.179029e-01,4,4,4.5,f,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,91,50,-58236.495148,5.659341e-02,4,4,4.5,f,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,92,51,-58236.495146,1.650642e-02,4,4,4.5,f,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,68,33,-58235.134430,2.291887e-01,4,4,3.5,f,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,69,34,-58235.134427,2.619298e-01,4,4,3.5,f,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,70,35,-58235.134424,1.964473e-01,4,4,3.5,f,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,71,36,-58235.134420,1.047719e-01,4,4,3.5,f,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,72,37,-58235.134417,3.274121e-02,4,4,3.5,f,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,86,32,-58230.698982,3.305221e-02,4,4,4.5,f,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,87,33,-58230.698977,1.836232e-02,4,4,4.5,f,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,88,34,-58230.698972,9.181152e-03,4,4,4.5,f,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,89,35,-58230.698967,3.934776e-03,4,4,4.5,f,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,90,36,-58230.698961,1.311591e-03,4,4,4.5,f,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,91,37,-58230.698956,2.623179e-04,4,4,4.5,f,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,65,59,-58156.290616,4.803249e-04,4,4,3.5,e,+1.5,+1,3,3,3.5,f,+3.5,+1
sigma+,sigma-,64,58,-58156.290615,1.029268e-03,4,4,3.5,e,+0.5,+1,3,3,3.5,f,+2.5,+1
sigma+,sigma-,63,57,-58156.290614,1.372359e-03,4,4,3.5,e,-0.5,+1,3,3,3.5,f,+1.5,+1
sigma+,sigma-,62,56,-58156.290613,1.372360e-03,4,4,3.5,e,-1.5,+1,3,3,3.5,f,+0.5,+1
sigma+,sigma-,61,55,-58156.290612,1.029271e-03,4,4,3.5,e,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,60,54,-58156.290611,4.803269e-04,4,4,3.5,e,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,76,53,-58151.855159,1.143904e-02,4,4,4.5,e,-4.5,+1,3,3,3.5,f,-2.5,+1
sigma+,sigma-,77,54,-58151.855158,1.525206e-02,4,4,4.5,e,-3.5,+1,3,3,3.5,f,-1.5,+1
sigma+,sigma-,78,55,-58151.855157,1.429881e-02,4,4,4.5,e,-2.5,+1,3,3,3.5,f,-0.5,+1
sigma+,sigma-,79,56,-58151.855156,1.089433e-02,4,4,4.5,e,-1.5,+1,3,3,3.5,f,+0.5,+1
