eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,pi,81,82,0.039246,3.098167e-02,4,4,4.5,e,+0.5,+1,4,4,4.5,e,+1.5,+1
sigma+,pi,114,115,0.039255,4.646012e-03,5,5,4.5,f,+3.5,+1,5,5,4.5,f,+4.5,+1
sigma+,pi,113,114,0.039278,4.658602e-03,5,5,4.5,f,+2.5,+1,5,5,4.5,f,+3.5,+1
sigma+,pi,82,83,0.039289,1.099728e-01,4,4,4.5,e,+1.5,+1,4,4,4.5,e,+2.5,+1
sigma+,pi,112,113,0.039302,2.729223e-03,5,5,4.5,f,+1.5,+1,5,5,4.5,f,+2.5,+1
sigma+,pi,111,112,0.039326,7.880963e-04,5,5,4.5,f,+0.5,+1,5,5,4.5,f,+1.5,+1
sigma+,pi,83,84,0.039332,1.897171e-01,4,4,4.5,e,+2.5,+1,4,4,4.5,e,+3.5,+1
sigma+,pi,110,111,0.039351,7.330531e-08,5,5,4.5,f,-0.5,+1,5,5,4.5,f,+0.5,+1
sigma+,pi,84,85,0.039374,1.905431e-01,4,4,4.5,e,+3.5,+1,4,4,4.5,e,+4.5,+1
sigma+,pi,109,110,0.039375,7.603712e-04,5,5,4.5,f,-1.5,+1,5,5,4.5,f,-0.5,+1
sigma+,pi,108,109,0.039400,2.690152e-03,5,5,4.5,f,-2.5,+1,5,5,4.5,f,-1.5,+1
sigma+,pi,107,108,0.039426,4.631949e-03,5,5,4.5,f,-3.5,+1,5,5,4.5,f,-2.5,+1
sigma+,pi,106,107,0.039451,4.644933e-03,5,5,4.5,f,-4.5,+1,5,5,4.5,f,-3.5,+1
sigma+,pi,104,105,0.045517,1.990126e-01,5,5,4.5,e,+3.5,-1,5,5,4.5,e,+4.5,-1
sigma+,pi,103,104,0.045544,1.995848e-01,5,5,4.5,e,+2.5,-1,5,5,4.5,e,+3.5,-1
sigma+,pi,102,103,0.045572,1.169574e-01,5,5,4.5,e,+1.5,-1,5,5,4.5,e,+2.5,-1
sigma+,pi,101,102,0.045600,3.379577e-02,5,5,4.5,e,+0.5,-1,5,5,4.5,e,+1.5,-1
sigma+,pi,100,101,0.045628,3.562170e-06,5,5,4.5,e,-0.5,-1,5,5,4.5,e,+0.5,-1
sigma+,pi,99,100,0.045657,3.253041e-02,5,5,4.5,e,-1.5,-1,5,5,4.5,e,-0.5,-1
sigma+,pi,98,99,0.045686,1.151716e-01,5,5,4.5,e,-2.5,-1,5,5,4.5,e,-1.5,-1
sigma+,pi,97,98,0.045715,1.983604e-01,5,5,4.5,e,-3.5,-1,5,5,4.5,e,-2.5,-1
sigma+,pi,96,97,0.045745,1.989522e-01,5,5,4.5,e,-4.5,-1,5,5,4.5,e,-3.5,-1
sigma+,pi,52,53,0.049402,1.067443e-02,3,3,3.5,f,-3.5,+1,3,3,3.5,f,-2.5,+1
sigma+,pi,53,54,0.049482,8.197107e-03,3,3,3.5,f,-2.5,+1,3,3,3.5,f,-1.5,+1
sigma+,pi,54,55,0.049561,2.600035e-03,3,3,3.5,f,-1.5,+1,3,3,3.5,f,-0.5,+1
