eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,101,74,-72674.738697,5.287565e-03,5,5,4.5,e,+0.5,-1,4,4,3.5,f,+2.5,-1
sigma+,sigma-,102,75,-72674.738697,1.542206e-03,5,5,4.5,e,+1.5,-1,4,4,3.5,f,+3.5,-1
sigma+,sigma-,116,68,-72671.161252,2.022632e-03,5,5,5.5,e,-5.5,-1,4,4,3.5,f,-3.5,-1
sigma+,sigma-,117,69,-72671.161250,1.287128e-03,5,5,5.5,e,-4.5,-1,4,4,3.5,f,-2.5,-1
sigma+,sigma-,118,70,-72671.161247,7.722754e-04,5,5,5.5,e,-3.5,-1,4,4,3.5,f,-1.5,-1
sigma+,sigma-,119,71,-72671.161245,4.290413e-04,5,5,5.5,e,-2.5,-1,4,4,3.5,f,-0.5,-1
sigma+,sigma-,120,72,-72671.161243,2.145203e-04,5,5,5.5,e,-1.5,-1,4,4,3.5,f,+0.5,-1
sigma+,sigma-,121,73,-72671.161241,9.193715e-05,5,5,5.5,e,-0.5,-1,4,4,3.5,f,+1.5,-1
sigma+,sigma-,122,74,-72671.161239,3.064567e-05,5,5,5.5,e,+0.5,-1,4,4,3.5,f,+2.5,-1
sigma+,sigma-,123,75,-72671.161237,6.129125e-06,5,5,5.5,e,+1.5,-1,4,4,3.5,f,+3.5,-1
sigma+,sigma-,68,46,-58240.930609,1.190273e-03,4,4,3.5,f,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,69,47,-58240.930609,2.550584e-03,4,4,3.5,f,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,70,48,-58240.930609,3.400775e-03,4,4,3.5,f,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,71,49,-58240.930609,3.400771e-03,4,4,3.5,f,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,72,50,-58240.930609,2.550576e-03,4,4,3.5,f,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,73,51,-58240.930608,1.190268e-03,4,4,3.5,f,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,86,45,-58236.495158,2.857867e-02,4,4,4.5,f,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,87,46,-58236.495156,3.810491e-02,4,4,4.5,f,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,88,47,-58236.495154,3.572336e-02,4,4,4.5,f,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,89,48,-58236.495152,2.721781e-02,4,4,4.5,f,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,90,49,-58236.495150,1.701113e-02,4,4,4.5,f,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,91,50,-58236.495148,8.165347e-03,4,4,4.5,f,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,92,51,-58236.495146,2.381560e-03,4,4,4.5,f,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,68,33,-58235.134430,3.305552e-02,4,4,3.5,f,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,69,34,-58235.134427,3.777773e-02,4,4,3.5,f,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,70,35,-58235.134424,2.833329e-02,4,4,3.5,f,-1.5,-1,3,3,2.5,e,+0.5,-1
sigma+,sigma-,71,36,-58235.134420,1.511109e-02,4,4,3.5,f,-0.5,-1,3,3,2.5,e,+1.5,-1
sigma+,sigma-,72,37,-58235.134417,4.722214e-03,4,4,3.5,f,+0.5,-1,3,3,2.5,e,+2.5,-1
sigma+,sigma-,86,32,-58230.698982,4.767065e-03,4,4,4.5,f,-4.5,-1,3,3,2.5,e,-2.5,-1
sigma+,sigma-,87,33,-58230.698977,2.648367e-03,4,4,4.5,f,-3.5,-1,3,3,2.5,e,-1.5,-1
sigma+,sigma-,88,34,-58230.698972,1.324182e-03,4,4,4.5,f,-2.5,-1,3,3,2.5,e,-0.5,-1
sigma+,sigma-,89,35,-58230.698967,5.675062e-04,4,4,4.5,f,-1.5,-1,3,3,2.5,e,+0.5,-1
