eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,21,23,0.090664,2.614795e-01,2,2,2.5,e,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,22,24,0.090792,2.628524e-01,2,2,2.5,e,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,23,25,0.090918,1.467849e-01,2,2,2.5,e,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,17,19,0.149096,4.186633e-02,2,2,1.5,f,-0.5,-1,2,2,1.5,f,+1.5,-1
sigma+,sigma-,16,18,0.149217,4.195918e-02,2,2,1.5,f,-1.5,-1,2,2,1.5,f,+0.5,-1
sigma+,sigma-,13,15,0.155997,2.377467e-01,2,2,1.5,e,-0.5,+1,2,2,1.5,e,+1.5,+1
sigma+,sigma-,12,14,0.156126,2.382812e-01,2,2,1.5,e,-1.5,+1,2,2,1.5,e,+0.5,+1
sigma+,sigma-,8,10,0.206150,2.341301e-01,1,1,1.5,f,-1.5,+1,1,1,1.5,f,+0.5,+1
sigma+,sigma-,9,11,0.207160,2.419293e-01,1,1,1.5,f,-0.5,+1,1,1,1.5,f,+1.5,+1
sigma+,sigma-,4,6,0.209969,4.121698e-02,1,1,1.5,e,-1.5,-1,1,1,1.5,e,+0.5,-1
sigma+,sigma-,5,7,0.211011,4.261458e-02,1,1,1.5,e,-0.5,-1,1,1,1.5,e,+1.5,-1
sigma+,sigma-,128,107,3.580474,3.873094e-04,5,5,5.5,f,-5.5,+1,5,5,4.5,f,-3.5,+1
sigma+,sigma-,116,97,3.583883,1.649924e-02,5,5,5.5,e,-5.5,-1,5,5,4.5,e,-3.5,-1
sigma+,sigma-,129,108,3.587140,5.612379e-04,5,5,5.5,f,-4.5,+1,5,5,4.5,f,-2.5,+1
sigma+,sigma-,117,98,3.591080,2.390117e-02,5,5,5.5,e,-4.5,-1,5,5,4.5,e,-2.5,-1
sigma+,sigma-,130,109,3.593793,5.870891e-04,5,5,5.5,f,-3.5,+1,5,5,4.5,f,-1.5,+1
